5 20
684
1299
2101

Permutaion sequence:
2,16,14,5,3,8,4,17,0,1,18,15,7,12,10,13,9,6,19,11

Completion times:
15,59,68,119,211,367,324,362,505,574,647,747,793,801,903,927,928,974,1051,1156
26,80,115,189,310,372,380,448,584,577,652,761,853,874,906,1002,984,1073,1128,1217
75,106,178,234,325,429,469,523,600,666,729,808,876,937,913,1043,1048,1133,1168,1218
106,160,234,325,393,478,547,600,666,724,780,848,935,976,998,1084,1133,1146,1199,1227
126,218,281,360,478,547,600,618,724,780,848,935,976,984,1084,1133,1146,1199,1227,1299

Start times:
0,27,56,83,140,340,247,275,451,491,579,670,755,787,827,898,841,921,957,1065
15,59,68,119,211,367,324,362,505,574,647,747,793,801,903,927,928,974,1051,1156
26,80,115,189,310,372,380,448,584,577,652,761,853,874,906,1002,984,1073,1128,1217
75,106,178,234,325,429,469,523,600,666,729,808,876,937,913,1043,1048,1133,1168,1218
106,160,234,325,393,478,547,600,666,724,780,848,935,976,998,1084,1133,1146,1199,1227
